partynames,riding,party,votes
Green Party of Ontario,AJAX--PICKERING,GRN,843
Ontario Liberal Party,AJAX--PICKERING,LIB,19606
Ontario Libertarian Party,AJAX--PICKERING,LTN,299
Ontario NDP,AJAX--PICKERING,NDP,5952
PC Party of Ontario,AJAX--PICKERING,PC,14718
Family Coalition Party of Ontario,ALGOMA--MANITOULIN,FCP,217
Green Party of Ontario,ALGOMA--MANITOULIN,GRN,684
Ontario Liberal Party,ALGOMA--MANITOULIN,LIB,7397
Ontario NDP,ALGOMA--MANITOULIN,NDP,11585
PC Party of Ontario,ALGOMA--MANITOULIN,PC,6141
Communist,ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE,COM,87
Family Coalition Party of Ontario,ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE,FCP,321
Freedom Party of Ontario,ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE,FP,99
Green Party of Ontario,ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE,GRN,1477
Ontario Liberal Party,ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE,LIB,21648
Ontario Libertarian Party,ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE,LTN,258
Ontario NDP,ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE,NDP,8521
PC Party of Ontario,ANCASTER--DUNDAS--FLAMBOROUGH--WESTDALE,PC,17132
Freedom Party of Ontario,BARRIE,FP,179
Green Party of Ontario,BARRIE,GRN,1909
Ontario Liberal Party,BARRIE,LIB,15006
Ontario Libertarian Party,BARRIE,LTN,318
Ontario NDP,BARRIE,NDP,8171
PC Party of Ontario,BARRIE,PC,17527
Freedom Party of Ontario,BEACHES--EAST YORK,FP,144
Green Party of Ontario,BEACHES--EAST YORK,GRN,1025
Ontario Liberal Party,BEACHES--EAST YORK,LIB,13813
Ontario NDP,BEACHES--EAST YORK,NDP,17925
PC Party of Ontario,BEACHES--EAST YORK,PC,5333
TOP,BEACHES--EAST YORK,TOP,45
Family Coalition Party of Ontario,BRAMALEA--GORE--MALTON,FCP,698
Green Party of Ontario,BRAMALEA--GORE--MALTON,GRN,1034
Independent,BRAMALEA--GORE--MALTON,IND,495
